legacy_system_id,obsolete_sensor_data,department_name,seniority_level,annual_salary
,,  Sales,Junior,144596.53
,,sales,mid,93261.84
,,Marketing ,," $71,129.86 "
,,,mid,"79,697 USD"
,, HR ,jUNior," $70,174.25 "
,,Marketing ,  SENIOR,"53,891 USD"
,, HR ,,
,,  Sales,Director," $77,477.65 "
,,  Sales,,"130,433 USD"
,,IT,Junior," $115,509.61 "
,,sales,," $73,421.91 "
,, HR ,VP ,106694.94
,,sales,,"89,557 USD"
,,  Sales,,87171.28
,,Marketing ,Junior," $121,409.82 "
,, iT ,mid," $48,930.62 "
,,sales,VP ,
,, HR ,Director,"105,319 USD"
,, HR ,mid,"71,099 USD"
,, HR ,jUNior,69101.01
,,Marketing ,jUNior," $61,760.11 "
,,Marketing ,mid," $139,925.26 "
,, HR ,Junior,
,,  Sales,VP ,"102,613 USD"
,,IT,Junior,"73,450 USD"
,,  Sales,VP ,88153.47
,, HR ,Director," $106,408.50 "
,, HR ,mid,131955.45
,,Marketing ,Junior,"113,951 USD"
,,Marketing ,Junior,59270.98
,, iT ,Director,59963.81
,,IT,jUNior,"146,596 USD"
,,  Sales,Director," $113,714.69 "
,,  Sales,Director,"71,704 USD"
,,,,"90,031 USD"
,,  Sales,  SENIOR,
,,,Director," $130,741.99 "
,, iT ,," $85,457.23 "
,,Marketing ,  SENIOR,"94,834 USD"
,,,Junior,"100,414 USD"
,,IT,jUNior,43175.64
,,Marketing ,,57421.6
,, HR ,VP ," $64,717.07 "
,,IT,Junior,56936.82
,,  Sales,VP ,"85,704 USD"
,,IT,mid," $55,910.62 "
,,Marketing ,VP ," $55,015.92 "
,,  Sales,,85643.67
,,  Sales,,
,, iT ,  SENIOR,103791.57
,,IT,,
,,Marketing ,Director,100710.92
,,IT,Director,135656.19
,,sales,VP ,"134,161 USD"
,, HR ,  SENIOR,"117,575 USD"
,,IT,jUNior," $111,722.09 "
,,IT,Junior,
,,Marketing ,  SENIOR,"136,161 USD"
,, HR ,VP ," $41,688.24 "
,,IT,,"56,980 USD"
,,,  SENIOR,116197.51
,, HR ,,114179.32
,,IT,  SENIOR,"137,618 USD"
,,,VP ,
,, HR ,mid," $141,302.20 "
,, iT ,Junior,50828.74
,, iT ,,
,,sales,jUNior,"43,184 USD"
,,,Junior," $81,232.52 "
,,sales,VP ," $114,998.04 "
,,sales,mid,
,,,Director,66491.28
,,sales,mid,"67,938 USD"
,, iT ,Junior,"91,178 USD"
,, iT ,VP ,
,,IT,  SENIOR,"72,907 USD"
,, iT ,  SENIOR,"73,233 USD"
,,,Director,
,,IT,VP ,72545.96
,,  Sales,Junior,"112,405 USD"
,, HR ,VP ," $125,614.28 "
,,Marketing ,jUNior,"139,457 USD"
,,,," $128,212.52 "
,, iT ,mid,114554.09
,,,jUNior," $55,045.72 "
,, iT ,jUNior,
,,,Director,
,,  Sales,jUNior,
,,  Sales,  SENIOR," $59,320.41 "
,,,VP ,80244.33
,,  Sales,,
,,,Director,"72,466 USD"
,,,Junior," $48,282.93 "
,,,jUNior,147793.65
,,  Sales,Junior,41531.05
,, HR ,Director,"122,391 USD"
,,Marketing ,Director," $143,432.11 "
,, iT ,mid,108150.16
,,  Sales,VP ,"46,954 USD"
,, iT ,  SENIOR," $52,834.35 "
,, HR ,  SENIOR," $52,773.25 "
,,Marketing ,mid,80811.27
,, iT ,VP ," $121,649.59 "
,,IT,jUNior,
,,IT,VP ," $144,667.37 "
,, iT ,  SENIOR," $88,916.54 "
,,,  SENIOR,
,, iT ,  SENIOR,"147,563 USD"
,, HR ,Director,"146,503 USD"
,, HR ,jUNior," $110,344.22 "
,, HR ,,148770.3
,,sales,Junior,100962.86
,,sales,," $76,141.55 "
,,,VP ,
,,,mid," $99,423.70 "
,, HR ,jUNior,"54,498 USD"
,,,," $75,614.86 "
,,  Sales,Junior,
,,IT,VP ,
,, HR ,Director,79824.29
,, HR ,Director," $143,995.72 "
,, iT ,,"112,479 USD"
,,IT,jUNior,"46,691 USD"
,,,Director,51875.8
,,IT,Junior," $75,432.30 "
,, HR ,mid,109638.44
,, iT ,  SENIOR,"105,713 USD"
,,IT,VP ,50909.63
,, HR ,,136547.68
,, iT ,," $89,671.04 "
,,IT,  SENIOR,83860.32
,, HR ,  SENIOR,"113,162 USD"
,,sales,jUNior," $47,384.66 "
,, HR ,Director,
,, iT ,  SENIOR,101200.78
,,Marketing ,VP ,"53,445 USD"
,,,jUNior,86523.05
,, HR ,  SENIOR,78681.08
,,Marketing ,mid,
,,IT,mid,78512.54
,,  Sales,Junior,"103,151 USD"
,,,VP ,130026.95
,, iT ,jUNior,106989.44
,,,jUNior,59845.77
,,,  SENIOR," $78,612.58 "
,,,mid," $84,086.28 "
,, iT ,jUNior,50093.35
,,sales,Director,"77,499 USD"
,,  Sales,jUNior,143554.82
,, HR ,Junior,
,,,VP ,
,, HR ,  SENIOR,86641.63
,,IT,Director," $123,043.75 "
,,  Sales,Director,
,, iT ,jUNior,"97,963 USD"
,, HR ,mid," $105,925.75 "
,,sales,  SENIOR,"124,408 USD"
,,  Sales,  SENIOR,
,,IT,jUNior,54210.43
,, iT ,mid,"131,669 USD"
,, HR ,Director," $44,653.25 "
,,IT,Junior,103333.51
,,IT,jUNior,"71,847 USD"
,, HR ,  SENIOR,
,,Marketing ,Director," $141,174.67 "
,,IT,,
,,IT,VP ,"48,651 USD"
,, iT ,  SENIOR," $125,702.97 "
,,Marketing ,jUNior,
,,Marketing ,mid,78431.28
,,,jUNior," $65,989.57 "
,,  Sales,mid,
,,sales,,48288.86
,,IT,Director,"123,586 USD"
,, iT ,VP ,"148,519 USD"
,,,jUNior,"88,374 USD"
,,IT,jUNior," $70,214.10 "
,,  Sales,VP ,
,,IT,Director,
,,  Sales,," $110,913.31 "
,,Marketing ,VP ,90898.28
,,,jUNior,89470.71
,, iT ,mid," $92,319.19 "
,, HR ,Director,
,,,  SENIOR,49276.2
,,sales,Junior,"88,153 USD"
,,Marketing ,VP ,"80,029 USD"
,,IT,Director," $114,678.75 "
,,,jUNior," $47,250.30 "
,,Marketing ,jUNior,67719.54
,,Marketing ,,
,, HR ,VP ,"140,842 USD"
,, iT ,jUNior,54184.68
,, HR ,  SENIOR,"110,784 USD"
,,,mid,131185.49
,, iT ,VP ,
,, iT ,Director,"42,005 USD"
,,sales,mid," $124,277.18 "
,,sales,mid,
,,  Sales,,95845.87
,,,jUNior,"44,152 USD"
,,,VP ,
,,IT,mid,
,,,jUNior," $128,994.81 "
,, iT ,Director,
,,  Sales,jUNior,146654.75
,,  Sales,,89382.08
,,sales,  SENIOR," $126,280.73 "
,,  Sales,jUNior,"148,288 USD"
,,,  SENIOR,"95,320 USD"
,,sales,,
,,Marketing ,mid,"45,740 USD"
,,,  SENIOR,51284.87
,,,Junior,"123,943 USD"
,,IT,VP ,
,,IT,Junior,"64,424 USD"
,,  Sales,Junior,"83,610 USD"
,,sales,Director," $81,240.39 "
,,  Sales,Junior," $111,495.68 "
,,sales,Junior,131273.77
,,,mid,91602.11
,, HR ,Junior,
,,sales,,
,, iT ,VP ,"52,231 USD"
,,sales,  SENIOR,
,,sales,Director," $108,509.16 "
,, HR ,," $105,641.29 "
,, iT ,VP ,"119,040 USD"
,,IT,Junior,"66,462 USD"
,,sales,jUNior,"97,583 USD"
,, HR ,VP ,126505.36
,,Marketing ,Junior,91714.86
,,IT,  SENIOR," $41,786.65 "
,,  Sales,mid,109108.27
,, iT ,,44876.93
,,  Sales,,131342.2
,,IT,jUNior," $60,050.58 "
,, HR ,jUNior,"90,345 USD"
,,sales,Junior,"137,437 USD"
,,  Sales,VP ,"129,695 USD"
,,  Sales,Junior,"61,021 USD"
,,,,
,, iT ,  SENIOR,"127,928 USD"
,,IT,jUNior,"145,213 USD"
,,sales,Director,80408.16
,,  Sales,,
,,IT,Junior," $149,460.80 "
,,Marketing ,  SENIOR,48807.58
,,  Sales,  SENIOR," $118,942.92 "
,, iT ,Director,"44,659 USD"
,,Marketing ,Director," $147,803.00 "
,, HR ,jUNior,79964.22
,, iT ,mid,55705.74
,, iT ,," $53,885.30 "
,,,jUNior,82113.98
,, HR ,VP ,
,,IT,  SENIOR,123939.29
,,sales,VP ,"74,582 USD"
,,sales,Junior,
,,sales,Director," $140,489.68 "
,,  Sales,,89090.04
,,  Sales,jUNior," $94,032.02 "
,,sales,,
,,sales,jUNior,49656.98
,,,  SENIOR,118049.45
,,Marketing ,  SENIOR,133649.83
,, iT ,jUNior,127306.6
,,sales,Junior," $127,127.22 "
,,,Director,
,,Marketing ,VP ,128402.79
,,sales,VP ,"47,232 USD"
,, iT ,jUNior,"85,187 USD"
,,,VP ,
,,  Sales,jUNior,
,,IT,jUNior,54116.81
,, iT ,VP ,
,,sales,Director," $135,503.28 "
,,Marketing ,mid,57816.37
,,sales,  SENIOR,"97,079 USD"
,,,Junior,109856.28
,,  Sales,mid," $107,587.11 "
,,Marketing ,jUNior,
,,Marketing ,mid,
,,Marketing ,jUNior,77138.15
,, HR ,,48934.51
,,,VP ,63188.92
,,IT,VP ,94784.19
,,Marketing ,  SENIOR," $73,230.35 "
,,,," $72,717.73 "
,, iT ,Junior,
,,IT,Director," $77,421.18 "
,,  Sales,,"120,762 USD"
,,IT,mid," $96,647.81 "
,,  Sales,mid," $69,421.88 "
,,sales,Junior,
,,IT,," $67,309.73 "
,,,  SENIOR," $119,324.13 "
,,,mid,"96,620 USD"
,,  Sales,Director,
,,IT,VP ,66480.15
,,  Sales,Junior,
,,IT,VP ,"111,969 USD"
,,  Sales,VP ,
,, HR ,Director,
,,  Sales,jUNior," $84,357.95 "
,,IT,Junior,61412.08
,,  Sales,Junior,89538.98
,,  Sales,," $114,843.85 "
,,sales,Junior,"127,439 USD"
,,Marketing ,  SENIOR,61896.37
,,IT,VP ,
,, HR ,mid,128436.24
,,IT,mid,"96,706 USD"
,,Marketing ,  SENIOR,
,,Marketing ,jUNior,105309.71
,,,VP ,"117,961 USD"
,,IT,,
,,  Sales,jUNior,
,,IT,VP ,138864.38
,, iT ,Junior,69208.35
,,,," $65,029.75 "
,,Marketing ,Director,
,, iT ,jUNior," $132,528.38 "
,,,jUNior,102982.73
,, HR ,mid,
,,  Sales,Director,
,, iT ,mid,"125,247 USD"
,,,," $46,850.94 "
,,Marketing ,mid,"149,794 USD"
,,Marketing ,Director,59050.07
,,  Sales,VP ,124918.88
,, iT ,jUNior,"69,080 USD"
,,sales,mid,"72,835 USD"
,,,  SENIOR,"115,926 USD"
,,  Sales,Director,142707.04
,,  Sales,  SENIOR,
,, iT ,VP ,"147,818 USD"
,,,,
,, HR ,  SENIOR,"48,693 USD"
,, iT ,  SENIOR,63538.55
,,  Sales,VP ,55100.03
,, iT ,VP ,45584.2
,,sales,jUNior,"51,022 USD"
,, iT ,Director,
,,,mid,
,,Marketing ,mid,"142,854 USD"
,,IT,jUNior,
,,  Sales,  SENIOR," $46,507.88 "
,, iT ,VP ," $121,255.52 "
,,sales,Director," $59,336.76 "
,,,Director,60494.28
,,,  SENIOR,41019.39
,,Marketing ,Junior,"76,855 USD"
,, iT ,VP ," $137,818.60 "
,,,VP ," $61,209.25 "
,,  Sales,mid,111311.39
,,sales,Junior,126984.44
,, iT ,,
,,Marketing ,,"84,604 USD"
,,Marketing ,  SENIOR,
,, iT ,Junior,
,,sales,Director,"67,285 USD"
,,IT,mid,"69,369 USD"
,,  Sales,VP ,41257.93
,,  Sales,jUNior,"113,456 USD"
,,  Sales,mid,95277.25
,,,  SENIOR,"110,258 USD"
,,  Sales,VP ,"145,310 USD"
,,sales,Director,"106,631 USD"
,, iT ,VP ,123308.56
,,,mid,114837.61
,,,,
,,IT,VP ,48591.3
,, HR ,Junior," $139,317.70 "
,,Marketing ,VP ,
,,  Sales,," $52,786.40 "
,, iT ,VP ,"138,878 USD"
,,,Junior,"96,457 USD"
,,Marketing ,Junior,"114,004 USD"
,, iT ,Junior,129809.85
,,sales,VP ,
,,IT,  SENIOR," $99,527.99 "
,, HR ,Director,
,,IT,mid,124241.05
,, iT ,Director,"138,047 USD"
,,,Director,115100.34
,,,VP ,
,,,  SENIOR,
,,Marketing ,Director," $120,064.40 "
,,,Junior,"147,634 USD"
,, iT ,jUNior," $98,512.70 "
,,sales,Director,70321.47
,,,Junior,
,, iT ,Director," $142,986.17 "
,,sales,mid,
,,Marketing ,Junior," $113,922.60 "
,,sales,jUNior,
,,IT,mid," $122,982.43 "
,,sales,VP ,65757.77
,,Marketing ,  SENIOR,"124,979 USD"
,,sales,  SENIOR,148426.51
,,sales,Director,46705.34
,, iT ,mid,"86,992 USD"
,, HR ,  SENIOR,113847.68
,,  Sales,jUNior,"56,414 USD"
,,sales,," $66,506.50 "
,,  Sales,," $128,635.38 "
,,Marketing ,Director," $101,301.54 "
,,IT,mid," $76,328.93 "
,,IT,," $98,919.91 "
,, HR ,  SENIOR," $106,546.64 "
,,,Junior,
,,,VP ,"101,474 USD"
,,sales,," $73,350.68 "
,,sales,mid,"52,905 USD"
,,sales,jUNior," $62,496.45 "
,,Marketing ,  SENIOR,81872.79
,, iT ,  SENIOR,"79,561 USD"
,,IT,Junior,"119,465 USD"
,,sales,  SENIOR," $45,028.70 "
,, iT ,mid,
,,Marketing ,VP ," $85,933.59 "
,,sales,  SENIOR," $102,676.85 "
,,IT,VP ,"115,333 USD"
,,,,119591.37
,,IT,Director,
,,,  SENIOR,
,, iT ,VP ,140858.93
,, iT ,Junior," $132,297.53 "
,,,jUNior,
,, HR ,Director,
,, iT ,mid,
,,sales,Junior," $90,161.06 "
,,Marketing ,jUNior,"107,817 USD"
,, iT ,Director,
,,Marketing ,VP ,41839.88
,,  Sales,VP ,41885.69
,, iT ,Director," $140,075.07 "
,, HR ,VP ,
,,sales,VP ,"129,674 USD"
,,,Director,
,,IT,Director," $148,925.63 "
,,  Sales,jUNior,48867.86
,,,Junior,
,,IT,Director," $46,172.64 "
,, iT ,mid,
,,,Director," $76,439.77 "
,,Marketing ,Junior,139140.03
,,Marketing ,Director,141657.52
,,  Sales,VP ,"43,619 USD"
,, HR ,mid,122747.99
,,,Director,72920.46
,,sales,VP ,82807.23
,,  Sales,Director,55394.57
,, iT ,Junior," $147,175.57 "
,, HR ,Director,48362.01
,,,VP ,"83,637 USD"
,, HR ,jUNior,"149,184 USD"
,,sales,  SENIOR," $81,296.97 "
,, iT ,VP ,49426.35
,,  Sales,,"48,086 USD"
,,sales,Director,109729.1
,,IT,  SENIOR,"50,067 USD"
,,IT,  SENIOR," $51,245.46 "
,,sales,Director,"101,021 USD"
,, HR ,Junior,
,,Marketing ,Junior,"126,288 USD"
,, HR ,  SENIOR,125708.6
,,Marketing ,mid,"58,654 USD"
,,sales,mid," $69,524.75 "
,, HR ,mid,"86,321 USD"
,,,Junior,143864.45
,, iT ,Director," $61,510.30 "
,,sales,  SENIOR,
,,IT,  SENIOR,"81,788 USD"
,,IT,  SENIOR,130588.88
,,Marketing ,mid,106353.24
,,sales,Director,"146,103 USD"
,,  Sales,jUNior,94010.8
,,,mid,"70,833 USD"
,,  Sales,Junior,61978.01
,,sales,jUNior,42960.77
,,IT,jUNior,127745.41
,, HR ,,127455.02
,,IT,mid,66622.33
,,sales,jUNior,"81,469 USD"
,,Marketing ,Director,98780.41
,,IT,VP ,
,,  Sales,jUNior,99059.66
,, HR ,Junior,"112,336 USD"
,,sales,jUNior,101954.23
,, iT ,jUNior,"122,795 USD"
,, HR ,Junior,
,,sales,VP ,101379.28
,,Marketing ,mid,83024.76
,,Marketing ,jUNior," $77,946.41 "
,,IT,Junior," $141,260.23 "
,, HR ,,"55,584 USD"
,,  Sales,Director,"97,323 USD"
,,IT,Junior,"116,644 USD"
,, HR ,  SENIOR,
,, iT ,Junior,
,,  Sales,jUNior,
,,,mid,121453.84
,,sales,VP ,
,,Marketing ,Director,"65,504 USD"
,, iT ,mid,
,, iT ,Director," $121,112.72 "
,,IT,VP ," $40,489.50 "
,,sales,  SENIOR," $128,960.28 "
,,Marketing ,Junior,"99,058 USD"
,,  Sales,mid,"68,859 USD"
,,Marketing ,jUNior,"82,750 USD"
,,Marketing ,Junior,133006.96
,,sales,,128067.47
,,Marketing ,Junior," $74,450.43 "
,,  Sales,Junior,
,, iT ,mid," $86,006.30 "
,,Marketing ,Director,93533.72
,, iT ,jUNior," $59,055.83 "
,,IT,  SENIOR,
,,  Sales,,"45,897 USD"
,, HR ,Director,
,,,Director,"95,598 USD"
,,IT,jUNior,"118,116 USD"
,,IT,mid,
,, HR ,,"72,130 USD"
,,sales,VP ,125881.42
,, iT ,," $100,469.88 "
,,Marketing ,Junior,"99,742 USD"
,,Marketing ,,"123,600 USD"
,,Marketing ,mid,51265.81
,,,mid,"149,924 USD"
,,  Sales,  SENIOR," $49,568.13 "
,,,,129177.3
,, iT ,  SENIOR,"107,129 USD"
,,sales,VP ,
,,sales,,"46,529 USD"
,,Marketing ,  SENIOR,58521.51
,,  Sales,  SENIOR,144763.71
,, iT ,,
,,,,"46,521 USD"
,,,jUNior,
,,,mid," $118,253.43 "
,,,,93840.46
,, iT ,  SENIOR," $81,268.96 "
,, iT ,,50240.43
,, iT ,  SENIOR,"136,505 USD"
,,IT,  SENIOR,135579.85
,, HR ,jUNior,109832.46
,,  Sales,,
,,Marketing ,Director," $87,260.74 "
,,IT,  SENIOR,71195.24
,,Marketing ,mid,"93,387 USD"
,, iT ,,
,, HR ,jUNior," $90,553.99 "
,,,mid,"40,074 USD"
,,sales,jUNior,"137,036 USD"
,,sales,,70142.14
,,  Sales,  SENIOR,
,, iT ,jUNior,
,,IT,jUNior," $116,938.55 "
,,IT,jUNior,
,, HR ,Junior,48573.26
,,sales,VP ,41021.56
,,  Sales,,
,,,Director," $92,547.03 "
,,IT,Junior,"51,267 USD"
,,  Sales,  SENIOR,
,,,,54646.09
,,sales,Junior,40932.22
,,sales,Director,63436.1
,,sales,Director," $88,662.23 "
,, HR ,Junior,
,, HR ,VP ,"78,669 USD"
,,  Sales,,
,,  Sales,jUNior,
,,Marketing ,VP ,106835.24
,, HR ,," $136,340.99 "
,,Marketing ,VP ,"122,263 USD"
,, iT ,Junior," $127,315.58 "
,,IT,Director,
,,IT,jUNior," $98,111.52 "
,,  Sales,  SENIOR,
,,,,80195.37
,,sales,," $148,610.29 "
,, HR ,VP ,
,,  Sales,mid,
,, HR ,,71513.66
,,Marketing ,," $117,199.17 "
,, iT ,VP ," $56,794.85 "
,,  Sales,Junior," $62,351.72 "
,,Marketing ,  SENIOR,109772.37
,, iT ,jUNior,
,, iT ,Director," $133,111.49 "
,,sales,Junior,52758.52
,,Marketing ,Junior,121586.29
,,sales,Junior,
,,sales,jUNior,
,,IT,  SENIOR,126128.58
,,  Sales,mid,"122,475 USD"
,, iT ,Junior,"43,229 USD"
,,  Sales,VP ,
,, iT ,VP ,94576.23
,,  Sales,Junior,"102,357 USD"
,,sales,  SENIOR,138369.53
,, iT ,Junior," $95,970.74 "
,,,,
,, HR ,Director," $141,224.92 "
,,,Junior,140534.24
,, iT ,Director,67308.95
,,  Sales,  SENIOR," $102,868.96 "
,,Marketing ,jUNior,59727.88
,, HR ,Director,
,,IT,,"132,933 USD"
,, HR ,VP ,"80,581 USD"
,,Marketing ,,"108,499 USD"
,,  Sales,VP ," $149,756.58 "
,, iT ,VP ," $66,963.96 "
,,IT,Junior,78106.61
,, HR ,  SENIOR,
,, iT ,Director," $119,993.65 "
,,sales,VP ," $86,179.74 "
,,sales,jUNior," $44,829.03 "
,,,VP ,"138,514 USD"
,, iT ,Junior,95597.05
,,,Director,
,,Marketing ,Junior," $146,064.01 "
,,  Sales,  SENIOR,"141,865 USD"
,, iT ,,"74,986 USD"
,,sales,Junior,54972.3
,, HR ,mid,
,,IT,Director,"53,281 USD"
,,,mid," $90,968.13 "
,, HR ,mid,73463.65
,, iT ,VP ,
,,,," $50,033.42 "
,,  Sales,Director,"114,490 USD"
,,,mid,
,,IT,," $122,288.63 "
,, HR ,Director,
,,,mid,
,, HR ,," $64,451.69 "
,,,Director,109332.73
,, HR ,VP ," $140,917.14 "
,, HR ,Junior,
,, iT ,Director,"50,118 USD"
,, HR ,Junior,45570.15
,,IT,,"94,574 USD"
,, iT ,Director,
,,sales,mid," $89,061.26 "
,, HR ,VP ,"67,036 USD"
,,IT,Director," $92,693.40 "
,,  Sales,Director,
,,sales,jUNior,97839.55
,,,VP ,148834.4
,,  Sales,Director,93314.74
,,Marketing ,  SENIOR,"59,780 USD"
,,Marketing ,mid,
,,,,"128,952 USD"
,,Marketing ,  SENIOR," $149,956.63 "
,, HR ,mid,69317.97
,, HR ,,"64,135 USD"
,,  Sales,," $59,108.32 "
,,Marketing ,  SENIOR,116738.92
,, HR ,jUNior,144231.46
,,sales,VP ,"132,037 USD"
,,Marketing ,  SENIOR,
,, HR ,Junior,
,,Marketing ,mid,
,,IT,Junior," $107,554.82 "
,,  Sales,jUNior,
,,,," $46,551.16 "
,,Marketing ,jUNior,125180.31
,,,  SENIOR,81094.99
,,IT,VP ,
,,  Sales,  SENIOR,
,,sales,jUNior,"127,103 USD"
,, iT ,  SENIOR,
,,Marketing ,jUNior,"107,508 USD"
,,sales,jUNior,"59,289 USD"
,, iT ,jUNior," $59,547.91 "
,, iT ,VP ,149371.14
,, HR ,mid,141314.2
,,sales,jUNior," $143,035.66 "
,,  Sales,jUNior,
,,  Sales,  SENIOR,
,, HR ,,"110,301 USD"
,,IT,Junior," $67,449.49 "
,,  Sales,  SENIOR," $119,245.49 "
,,IT,Director,"146,601 USD"
,,IT,Director,"81,288 USD"
,,,," $123,406.79 "
,,sales,Director,
,,,Junior," $75,058.86 "
,, HR ,  SENIOR,
,,IT,mid," $100,175.09 "
,,  Sales,VP ,138254.88
,, HR ,Director,"58,150 USD"
,,sales,Junior,
,,sales,mid,100952.37
,,Marketing ,  SENIOR," $72,714.07 "
,, HR ,Director," $132,384.00 "
,, HR ,  SENIOR,
,, HR ,  SENIOR,"108,760 USD"
,,sales,Junior,
,,sales,jUNior," $49,012.97 "
,,  Sales,,93800.65
,,  Sales,Junior,"82,628 USD"
,,IT,  SENIOR,
,, HR ,  SENIOR,"68,974 USD"
